YEAR,MAKE,MODEL,VEHICLECLASS,ENGINESIZE,CYLINDERS,TRANSMISSION,FUELTYPE,FCC,FCHWY,FCCOMB,FCMPG,COE,COR,SMOGR
2019,BMW,330i xDRIVE GRAN TURISMO,FULL-SIZE,2,4,AS8,Z,10.2,7.2,8.8,32,207,6,7
2019,CHEVROLET,IMPALA,FULL-SIZE,2.5,4,AS6,X,10.8,8,9.6,29,225,5,3
2019,HONDA,ACCORD,FULL-SIZE,1.5,4,AV,X,7.9,6.3,7.2,39,168,8,7
2019,HONDA,ACCORD,FULL-SIZE,1.5,4,AV7,X,8.2,6.8,7.6,37,177,7,7
2019,HONDA,ACCORD,FULL-SIZE,1.5,4,M6,X,8.9,6.7,7.9,36,185,7,6
2019,HONDA,ACCORD,FULL-SIZE,2,4,M6,X,10.7,7.3,9.2,31,214,5,6
2019,HONDA,ACCORD HYBRID,FULL-SIZE,2,4,AV,X,5,5,5,56,117,10,7
2019,HONDA,CIVIC HATCHBACK,FULL-SIZE,1.5,4,AV,X,7.7,6,6.9,41,162,8,3
2019,HONDA,CIVIC HATCHBACK,FULL-SIZE,1.5,4,AV7,X,7.9,6.6,7.3,39,170,7,3
2019,HONDA,CIVIC HATCHBACK,FULL-SIZE,1.5,4,M6,X,8,6.2,7.2,39,167,8,3
2019,HONDA,CIVIC HATCHBACK SPORT,FULL-SIZE,1.5,4,AV7,Z,7.9,6.6,7.3,39,170,7,3
2019,HONDA,CIVIC HATCHBACK SPORT,FULL-SIZE,1.5,4,M6,Z,8,6.2,7.2,39,167,8,3
2019,HONDA,CIVIC TYPE R,FULL-SIZE,2,4,M6,Z,10.6,8.3,9.6,29,224,5,3
2019,HYUNDAI,ELANTRA GT,FULL-SIZE,1.6,4,AM7,X,9.7,7.4,8.6,33,205,6,5
2019,HYUNDAI,ELANTRA GT,FULL-SIZE,1.6,4,M6,X,10.3,7.9,9.2,31,218,5,5
2019,HYUNDAI,ELANTRA GT,FULL-SIZE,2,4,AS6,X,9.4,7.1,8.4,34,200,6,5
2019,HYUNDAI,ELANTRA GT,FULL-SIZE,2,4,M6,X,9.8,7.4,8.7,32,207,6,5
2019,HYUNDAI,IONIQ,FULL-SIZE,1.6,4,AM6,X,4.3,4.4,4.3,66,104,10,7
2019,HYUNDAI,IONIQ BLUE,FULL-SIZE,1.6,4,AM6,X,4.2,4,4.1,69,96,10,7
2019,HYUNDAI,SONATA,FULL-SIZE,2,4,AS8,X,10.4,7.4,9.1,31,212,5,5
2019,HYUNDAI,SONATA,FULL-SIZE,2.4,4,AS6,X,9.3,7.1,8.3,34,198,6,7
2019,HYUNDAI,SONATA SE,FULL-SIZE,2.4,4,AS6,X,9.2,6.8,8.1,35,190,6,7
2019,KIA,OPTIMA,FULL-SIZE,2,4,AS6,X,11.2,7.9,9.7,29,230,5,5
2019,KIA,OPTIMA,FULL-SIZE,2.4,4,AS6,X,9.5,7.1,8.4,34,199,6,5
2019,VOLKSWAGEN,ARTEON,FULL-SIZE,2,4,AS8,Z,10.8,7.5,9.3,30,218,5,3
2019,VOLKSWAGEN,ARTEON 4MOTION,FULL-SIZE,2,4,AS8,Z,12,8.6,10.4,27,244,5,3
2018,BMW,330i xDRIVE GRAN TURISMO,FULL-SIZE,2,4,AS8,Z,10.2,7.2,8.8,32,207,6,7
2018,CHEVROLET,IMPALA,FULL-SIZE,2.5,4,AS6,X,10.8,8,9.6,29,225,5,3
2018,HONDA,ACCORD,FULL-SIZE,1.5,4,AV,X,7.9,6.3,7.2,39,168,8,7
2018,HONDA,ACCORD,FULL-SIZE,1.5,4,AV7,X,8.2,6.8,7.6,37,177,7,7
2018,HONDA,ACCORD,FULL-SIZE,1.5,4,M6,X,8.9,6.7,7.9,36,185,7,6
2018,HONDA,ACCORD,FULL-SIZE,2,4,M6,X,10.7,7.3,9.2,31,214,5,6
2018,HONDA,ACCORD HYBRID,FULL-SIZE,2,4,AV,X,5,5,5,56,117,10,7
2018,HONDA,CIVIC HATCHBACK,FULL-SIZE,1.5,4,AV,X,7.7,6,6.9,41,162,8,3
2018,HONDA,CIVIC HATCHBACK,FULL-SIZE,1.5,4,AV7,X,7.9,6.6,7.3,39,170,7,3
2018,HONDA,CIVIC HATCHBACK,FULL-SIZE,1.5,4,M6,X,8,6.2,7.2,39,167,8,3
2018,HONDA,CIVIC HATCHBACK SPORT,FULL-SIZE,1.5,4,AV7,Z,7.9,6.6,7.3,39,170,7,3
2018,HONDA,CIVIC HATCHBACK SPORT,FULL-SIZE,1.5,4,M6,Z,8,6.2,7.2,39,167,8,3
2018,HONDA,CIVIC TYPE R,FULL-SIZE,2,4,M6,Z,10.6,8.3,9.6,29,224,5,3
2018,HYUNDAI,ELANTRA GT,FULL-SIZE,1.6,4,AM7,X,9.7,7.4,8.6,33,205,6,5
2018,HYUNDAI,ELANTRA GT,FULL-SIZE,1.6,4,M6,X,10.3,7.9,9.2,31,218,5,5
2018,HYUNDAI,ELANTRA GT,FULL-SIZE,2,4,AS6,X,9.4,7.1,8.4,34,200,6,5
2018,HYUNDAI,ELANTRA GT,FULL-SIZE,2,4,M6,X,9.8,7.4,8.7,32,207,6,5
2018,HYUNDAI,IONIQ,FULL-SIZE,1.6,4,AM6,X,4.3,4.4,4.3,66,104,10,7
2018,HYUNDAI,IONIQ BLUE,FULL-SIZE,1.6,4,AM6,X,4.2,4,4.1,69,96,10,7
2018,HYUNDAI,SONATA,FULL-SIZE,2,4,AS8,X,10.4,7.4,9.1,31,212,5,5
2018,HYUNDAI,SONATA,FULL-SIZE,2.4,4,AS6,X,9.3,7.1,8.3,34,198,6,7
2018,HYUNDAI,SONATA SE,FULL-SIZE,2.4,4,AS6,X,9.2,6.8,8.1,35,190,6,7
2018,KIA,OPTIMA,FULL-SIZE,2,4,AS6,X,11.2,7.9,9.7,29,230,5,5
2018,KIA,OPTIMA,FULL-SIZE,2.4,4,AS6,X,9.5,7.1,8.4,34,199,6,5
